0,0,0,0.75,3
0,0,0.25,0.25,3
0,0,0.5,0.75,3
0,0,0.75,0.5,3
0,0,1,0.5,3
0,0.25,0.25,0,2
0,0.25,0.25,0.25,3
0,0.25,0.25,0.75,3
0,0.25,0.25,1,3
0,0.25,0.5,0.5,3
0,0.25,0.75,0,3
0,0.25,0.75,1,3
0,0.25,1,0.75,3
0,0.5,0,0.25,1
0,0.5,0.25,0.5,3
0,0.5,0.25,0.75,3
0,0.5,0.75,0.5,3
0,0.5,1,0.25,3
0,0.75,0,0,1
0,0.75,0.5,0,1
0,0.75,0.5,0.75,3
0,0.75,0.75,0.5,3
0,0.75,0.75,1,3
0,0.75,1,0.5,3
0,1,0.25,0,1
0,1,0.25,0.75,3
0,1,0.75,0.5,3
0,1,1,0,2
0,1,1,1,3
0.25,0,0,0.25,2
0.25,0,0,0.5,3
0.25,0,0,1,3
0.25,0,0.5,0,3
0.25,0,0.5,0.75,3
0.25,0,0.75,0.75,3
0.25,0,1,0.5,3
0.25,0.25,0,0.75,2
0.25,0.25,0.25,0,1
0.25,0.25,0.25,0.75,3
0.25,0.25,0.5,0.25,3
0.25,0.25,0.75,0,2
0.25,0.25,0.75,0.25,3
0.25,0.25,0.75,0.75,3
0.25,0.25,1,1,3
0.25,0.5,0,1,1
0.25,0.5,0.25,0,1
0.25,0.5,0.5,0,1
0.25,0.5,0.5,1,3
0.25,0.5,0.75,0.25,3
0.25,0.5,1,1,3
0.25,0.75,0,0.25,1
0.25,0.75,0.25,0.5,1
0.25,0.75,0.5,0.75,3
0.25,0.75,0.75,0,1
0.25,0.75,0.75,0.5,3
0.25,0.75,0.75,1,3
0.25,0.75,1,0,1
0.25,0.75,1,0.25,3
0.25,1,0,0.5,1
0.25,1,0,0.75,1
0.25,1,0.25,1,2
0.25,1,0.5,0,1
0.25,1,0.5,1,3
0.25,1,0.75,0.5,3
0.5,0,0,0,1
0.5,0,0.25,0.25,3
0.5,0,0.5,1,3
0.5,0,0.75,0.75,3
0.5,0,1,0,3
0.5,0,1,1,3
0.5,0.25,0,0.5,1
0.5,0.25,0.5,0.75,3
0.5,0.25,1,0,1
0.5,0.25,1,0.75,3
0.5,0.5,0,0.25,1
0.5,0.5,0.25,0,1
0.5,0.5,0.25,0.25,1
0.5,0.5,0.25,0.75,1
0.5,0.5,0.25,1,3
0.5,0.5,0.5,0.5,2
0.5,0.5,0.75,0,1
0.5,0.5,0.75,0.5,3
0.5,0.5,1,0.25,3
0.5,0.5,1,0.75,3
0.5,0.75,0,0.75,1
0.5,0.75,0.25,0,1
0.5,0.75,0.25,0.75,1
0.5,0.75,0.75,0.75,3
0.5,0.75,1,0.25,1
0.5,0.75,1,0.5,3
0.5,1,0,0.25,1
0.5,1,0,1,1
0.5,1,0.25,0.5,1
0.5,1,0.5,0.25,1
0.5,1,0.5,1,2
0.5,1,0.75,0,1
0.75,0,0,0.5,1
0.75,0,0.5,0.5,3
0.75,0,0.5,0.75,3
0.75,0,0.75,0.25,3
0.75,0.25,0.25,1,3
0.75,0.25,0.5,0.25,1
0.75,0.25,0.75,0.25,2
0.75,0.25,1,0,1
0.75,0.25,1,0.5,3
0.75,0.25,1,1,3
0.75,0.5,0,0,1
0.75,0.5,0,0.75,1
0.75,0.5,0.25,0,1
0.75,0.5,0.25,0.5,1
0.75,0.5,0.5,0.25,1
0.75,0.5,0.75,1,3
0.75,0.75,0,0,1
0.75,0.75,0,1,1
0.75,0.75,0.5,0.5,1
0.75,0.75,0.5,0.75,1
0.75,0.75,0.75,0.75,2
0.75,0.75,0.75,1,3
0.75,0.75,1,0.25,1
0.75,1,0,1,1
0.75,1,0.25,0.25,1
0.75,1,0.25,1,1
0.75,1,0.5,0,1
0.75,1,0.75,0.5,1
0.75,1,1,0.5,1
1,0,0.25,0,1
1,0,0.5,0,1
1,0,0.5,0.5,3
1,0,0.5,0.75,3
1,0,1,0,2
1,0,1,0.5,3
1,0,1,1,3
1,0.25,0,0.25,1
1,0.25,0,1,1
1,0.25,0.25,0.5,1
1,0.25,0.25,1,2
1,0.25,0.5,0.25,1
1,0.25,0.5,0.75,3
1,0.25,0.75,0,1
1,0.25,0.75,0.75,3
1,0.5,0,0.5,1
1,0.5,0.5,0.5,1
1,0.5,0.75,1,3
1,0.5,1,0.75,3
1,0.75,0,0.25,1
1,0.75,0,0.5,1
1,0.75,0.25,0.25,1
1,0.75,0.25,0.75,1
1,0.75,0.75,0.25,1
1,0.75,0.75,0.5,1
1,0.75,1,0.5,1
1,1,0,0.75,1
1,1,0.25,0.75,1
1,1,0.5,0.5,1
1,1,0.75,0.25,1
1,1,1,0.25,1
